parking_id,is_occupied,total_spots,latitude,longitude
park_98,0,75,50.4315952,30.5181678
park_101,1,100,50.4305603,30.5485957
park_47,0,150,50.4548853,30.5497292
park_9,0,100,50.4356314,30.5121277
park_61,1,150,50.4379264,30.5271687
park_80,0,200,50.4454267,30.5106502
park_58,0,150,50.4316323,30.513947
park_163,0,20,50.4393271,30.5001692
park_179,0,100,50.4367923,30.5323566
park_120,1,50,50.4538534,30.5281099
park_36,0,200,50.456213,30.5215378
park_38,1,200,50.4330631,30.5246206
park_28,1,100,50.4499081,30.5091497
park_29,1,20,50.4317694,30.5120182
park_65,0,50,50.4496574,30.5222203
park_10,0,20,50.4535835,30.5182644
park_122,1,50,50.4344877,30.5442391
park_171,0,200,50.4542158,30.5184298
park_79,0,50,50.4546547,30.518087
park_84,0,200,50.4351089,30.5143529
park_185,1,100,50.4434433,30.5429483
park_128,0,100,50.4475243,30.5410293
park_120,1,50,50.4538534,30.5281099
park_123,1,100,50.4434434,30.5137165
park_160,0,50,50.4332383,30.5074493
park_111,0,75,50.4402413,30.5449844
park_120,1,50,50.4538534,30.5281099
park_7,1,100,50.4433422,30.5477165
park_177,0,50,50.4369786,30.5197774
park_159,1,20,50.4504721,30.5255684
park_128,0,100,50.4475243,30.5410293
park_108,0,20,50.4545088,30.5058985
park_103,0,200,50.4455652,30.522757
park_178,1,50,50.4512669,30.5054187
park_117,1,50,50.4598148,30.5054834
park_179,1,100,50.4367923,30.5323566
park_15,0,100,50.4492353,30.5053107
park_132,1,50,50.4330185,30.5127764
park_14,1,75,50.4323358,30.5149667
park_18,0,150,50.451424,30.510153
park_82,0,50,50.4510188,30.5017653
park_21,1,50,50.4393824,30.547955
park_126,1,20,50.4557109,30.500676
park_73,0,20,50.4380823,30.5379888
park_60,1,50,50.4478029,30.5370074
park_104,1,100,50.4553256,30.5478112
park_72,1,200,50.4405293,30.5352324
park_45,0,150,50.4392354,30.5121221
park_46,1,100,50.4391315,30.5123792
park_165,0,75,50.4354319,30.4999478
park_76,0,20,50.4363687,30.5211411
park_12,0,200,50.4588955,30.5225899
park_152,1,150,50.4548953,30.5176341
park_113,0,75,50.4510877,30.5067009
park_3,1,50,50.4494435,30.5075948
